127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000864
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001478
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000803
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001987
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003663
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000971
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001492
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001652
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000684
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001579
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003015
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003021
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003590
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001437
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003450
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002688
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001850
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.004923
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003336
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000893
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001776
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002563
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002370
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001286
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002614
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001964
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.000992
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.004135
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.001413
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000920
127.0.0.1, 2018-10-26 16:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.020671
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.034808
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.107723
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/images/save_icon.png, HTTP/1.1, 200, 0.000857
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.159010
127.0.0.1, 2018-10-26 16:39:06, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.362963
127.0.0.1, 2018-10-26 16:39:06, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.452233
127.0.0.1, 2018-10-26 16:39:29, GET, /, HTTP/1.1, 303, 0.000355
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.604252
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004312
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006391
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002612
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004765
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005617
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005201
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002430
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002560
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001182
127.0.0.1, 2018-10-26 16:39:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000394
127.0.0.1, 2018-10-26 16:39:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000603
127.0.0.1, 2018-10-26 16:40:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.221234
127.0.0.1, 2018-10-26 16:40:08, GET, /start/appadmin/hooks, HTTP/1.1, 200, 2.652515
127.0.0.1, 2018-10-26 16:41:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.104575
127.0.0.1, 2018-10-26 16:41:11, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.319703
127.0.0.1, 2018-10-26 16:42:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.143326
127.0.0.1, 2018-10-26 16:42:09, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.123336
127.0.0.1, 2018-10-26 16:43:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.161615
127.0.0.1, 2018-10-26 16:43:09, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.237708
127.0.0.1, 2018-10-26 16:44:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093679
127.0.0.1, 2018-10-26 16:44:09, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.002275
127.0.0.1, 2018-10-26 16:45:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073221
127.0.0.1, 2018-10-26 16:45:10, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.390860
127.0.0.1, 2018-10-26 16:46:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057226
127.0.0.1, 2018-10-26 16:46:11, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.297275
127.0.0.1, 2018-10-26 16:47:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044320
127.0.0.1, 2018-10-26 16:47:06, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.396387
127.0.0.1, 2018-10-26 16:48:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032599
127.0.0.1, 2018-10-26 16:48:06, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.290724
127.0.0.1, 2018-10-26 16:53:59, GET, /, HTTP/1.1, 303, 15.007255
127.0.0.1, 2018-10-26 16:53:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.091012
127.0.0.1, 2018-10-26 16:53:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000274
127.0.0.1, 2018-10-26 16:54:09, GET, /admin/default/site, HTTP/1.1, 200, 0.131963
127.0.0.1, 2018-10-26 16:54:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.107259
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/css/stupid.css, HTTP/1.1, 200, 0.004731
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/css/calendar.css, HTTP/1.1, 200, 0.005338
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/css/web2py.css, HTTP/1.1, 200, 0.010162
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/js/jquery.js, HTTP/1.1, 200, 0.001402
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/js/calendar.js, HTTP/1.1, 200, 0.000905
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/css/myapp.css, HTTP/1.1, 200, 0.015006
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.016019
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/js/web2py.js, HTTP/1.1, 200, 0.001104
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/js/vue.min.js, HTTP/1.1, 200, 0.000877
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/js/marked.min.js, HTTP/1.1, 200, 0.002770
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/css/custom.css, HTTP/1.1, 200, 0.001691
127.0.0.1, 2018-10-26 16:54:11, GET, /web2py_start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002100
127.0.0.1, 2018-10-26 16:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2018-10-26 16:54:15, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.036161
127.0.0.1, 2018-10-26 16:54:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2018-10-26 16:54:18, GET, /web2py_start/default/entry1, HTTP/1.1, 404, 0.021819
127.0.0.1, 2018-10-26 16:54:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000607
127.0.0.1, 2018-10-26 16:54:20, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.018498
127.0.0.1, 2018-10-26 16:54:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000477
127.0.0.1, 2018-10-26 16:57:35, GET, /, HTTP/1.1, 303, 15.009215
127.0.0.1, 2018-10-26 16:57:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.087141
127.0.0.1, 2018-10-26 16:57:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000258
127.0.0.1, 2018-10-26 16:57:39, GET, /admin/default/site, HTTP/1.1, 200, 0.096038
127.0.0.1, 2018-10-26 16:57:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000451
127.0.0.1, 2018-10-26 16:57:54, GET, /, HTTP/1.1, 303, 0.000686
127.0.0.1, 2018-10-26 16:57:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.044815
127.0.0.1, 2018-10-26 16:57:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000332
127.0.0.1, 2018-10-26 16:57:57, GET, /admin/default/site, HTTP/1.1, 200, 0.044713
127.0.0.1, 2018-10-26 16:57:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2018-10-26 16:57:59, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.068739
127.0.0.1, 2018-10-26 16:57:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2018-10-26 16:58:02, GET, /web2py_start/default/add1, HTTP/1.1, 303, 0.050414
127.0.0.1, 2018-10-26 16:58:02, GET, /web2py_start/default/user/login, HTTP/1.1, 200, 0.046831
127.0.0.1, 2018-10-26 16:58:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2018-10-26 16:58:16, POST, /web2py_start/default/user/login, HTTP/1.1, 200, 0.031543
127.0.0.1, 2018-10-26 16:58:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2018-10-26 16:58:19, GET, /web2py_start/default/user/register, HTTP/1.1, 200, 0.041180
127.0.0.1, 2018-10-26 16:58:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2018-10-26 16:58:28, POST, /web2py_start/default/user/register, HTTP/1.1, 200, 0.031205
127.0.0.1, 2018-10-26 16:58:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2018-10-26 16:58:33, POST, /web2py_start/default/user/register, HTTP/1.1, 200, 0.028688
127.0.0.1, 2018-10-26 16:58:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2018-10-26 16:58:38, POST, /web2py_start/default/user/register, HTTP/1.1, 303, 0.035006
127.0.0.1, 2018-10-26 16:58:38, GET, /web2py_start/default/add1, HTTP/1.1, 200, 0.070684
127.0.0.1, 2018-10-26 16:58:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2018-10-26 16:58:51, GET, /admin/default/design.html/web2py_start, HTTP/1.1, 200, 0.125889
127.0.0.1, 2018-10-26 16:58:51, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.000357
127.0.0.1, 2018-10-26 16:58:51, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000374
127.0.0.1, 2018-10-26 16:58:51, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000915
127.0.0.1, 2018-10-26 16:58:51, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.001008
127.0.0.1, 2018-10-26 16:58:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2018-10-26 16:58:56, GET, /web2py_start/default/add1, HTTP/1.1, 200, 0.088206
127.0.0.1, 2018-10-26 16:58:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2018-10-26 16:58:58, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.039468
127.0.0.1, 2018-10-26 16:58:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000595
127.0.0.1, 2018-10-26 16:59:00, GET, /web2py_start/default/add1, HTTP/1.1, 200, 0.054020
127.0.0.1, 2018-10-26 16:59:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2018-10-26 16:59:09, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.053405
127.0.0.1, 2018-10-26 16:59:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2018-10-26 17:04:35, GET, /web2py_start/default/add2, HTTP/1.1, 200, 0.040863
